rbh_set_name,rbh_track_id,rbh_created_date,rbh_set_number,rbh_extract_timestamp
HISTORY 2023-07-13,282,2023-07-13,17,2025-12-11 14:19:05
HISTORY 2023-07-13,339,2023-07-13,17,2025-12-11 14:19:05
HISTORY 2023-07-13,269,2023-07-13,17,2025-12-11 14:19:05
HISTORY 2023-07-13,389,2023-07-13,17,2025-12-11 14:19:05
HISTORY 2023-07-13,230,2023-07-13,17,2025-12-11 14:19:05
HISTORY 2023-07-13,235,2023-07-13,17,2025-12-11 14:19:05
HISTORY 2023-07-13,191,2023-07-13,17,2025-12-11 14:19:05
HISTORY 2023-07-13,128,2023-07-13,17,2025-12-11 14:19:05
HISTORY 2023-07-13,432,2023-07-13,17,2025-12-11 14:19:05
HISTORY 2023-07-13,234,2023-07-13,17,2025-12-11 14:19:05
HISTORY 2023-07-13,390,2023-07-13,17,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),281,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),308,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),383,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),385,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),168,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),392,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),14,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),317,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),92,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),410,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),184,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),428,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),433,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),352,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),158,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),143,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),213,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),230,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),319,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),298,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),176,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),323,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),279,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),164,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),325,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),397,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),424,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),396,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),65,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),78,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),408,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),409,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),411,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),37,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),131,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),233,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),13,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),434,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),121,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),263,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),58,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),79,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),415,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),126,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),132,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),404,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),147,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),300,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),350,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),214,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),206,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),313,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-07-15 (1),142,2023-07-15,18,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),86,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),183,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),88,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),274,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),245,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),300,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),206,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),304,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),192,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),200,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),35,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),30,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),29,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),83,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),231,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),201,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),142,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),147,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),89,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),93,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),130,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),187,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),270,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),311,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),45,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),418,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),44,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),398,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),10,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),74,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),104,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),347,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),170,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),420,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-08-27 (1),208,2023-08-27,19,2025-12-11 14:19:05
HISTORY 2023-12-26,281,2023-12-26,20,2025-12-11 14:19:05
