rb_track_id,rb_track_name,rb_artists,rb_album,rb_genre,rb_file_type,rb_file_size_bytes,rb_duration_sec,rb_year_release,rb_average_bpm,rb_date_added,rb_playcount,rb_file_name,rb_tonality,rb_label,rb_extract_timestamp
106,Micromaya (Original Mix),Cuartero,Micromaya EP,"Deep Tech, Minimal",MP3,16150010,400,2019,127.0,2021-10-10,0,Cuartero - Micromaya (Original Mix),6A,,2025-12-12 14:53:56
107,Pa Chu (Original Mix),Cuartero,Micromaya EP,Tech House,MP3,14540859,360,2019,128.0,2021-10-10,1,Cuartero - Pa Chu (Original Mix),9A,,2025-12-12 14:53:56
108,Part Of The Beautiful (Original Mix),Cuartero,Micromaya EP,"Deep Tech, Minimal",MP3,17088365,424,2019,127.0,2021-10-10,2,Cuartero - Part Of The Beautiful (Original Mix),7A,,2025-12-12 14:53:56
109,Try again (Cuartero edit),Cuartero,,"Deep Tech, Minimal",WAV,56096562,318,0,127.0,2021-10-10,1,Cuartero - Try again (Cuartero edit),6A,,2025-12-12 14:53:56
110,Txirimiri (Original Mix),Cuartero,Daily EP,Tech House,MP3,22526245,559,2013,124.0,2021-10-10,1,Cuartero - Txirimiri (Original Mix),2A,,2025-12-12 14:53:56
111,La Samba,"Cuartero, German Brigante",,Tech House,MP3,17055144,422,2015,125.0,2021-10-10,1,"Cuartero, German Brigante - La Samba",7A,,2025-12-12 14:53:56
112,No Dancers (Adam Port Remix),"Cubicolor, Adam Port",,Melodic House,MP3,16598275,405,0,120.0,2021-10-10,1,Cubicolor - No Dancers (Adam Port Remix),11A,,2025-12-12 14:53:56
113,All I Need To Get High (Ae-ther Dreaming Dub Remix),"Damian Lazarus,The Ancient Moons",,Melodic Techno,MP3,20383506,508,2019,125.0,2021-10-10,1,"Damian Lazarus, The Ancient Moons - All I Need To Get High (AETHER Dreaming Dub Remix)",11A,,2025-12-12 14:53:56
114,Eyes of the Night (Original Mix),"Darius Syrossian, Jamie Jones",,Techno,MP3,17188573,428,2019,128.0,2021-10-10,3,"Darius Syrossian, Jamie Jones - Eyes of the Night (Original Mix)",12A,,2025-12-12 14:53:56
115,Bass Play (Original Mix),"Darius Syrossian, Josh Butler",Metal EP,"Deep Tech, Minimal",MP3,16507683,411,2012,124.0,2021-10-10,0,"Darius Syrossian, Josh Butler - Bass Play (Original Mix)",10B,,2025-12-12 14:53:56
116,No Rules - Max Chapman Remix,"De La Swing, Max Chapman",No Rules (Remixes),Tech House,MP3,17828131,445,0,125.0,2021-10-10,0,De La Swing - No Rules (Max Chapman Remix),6A,,2025-12-12 14:53:56
117,Too Much Information [Laolu Remix (Edit)],"Dele Sosimi Afrobeat Orchestra, Laolu",,Melodic House,MP3,20499767,512,0,120.0,2021-10-10,2,Dele Sosimi Afrobeat Orchesta - Too Much Information [Laolu Remix (Edit)],2A,,2025-12-12 14:53:56
118,Noise,"Denis Horvat, Lelah",Miracle Of The Rose EP,Melodic Techno,MP3,17815981,441,0,123.0,2021-10-10,0,Denis Horvat - Noise,4A,,2025-12-12 14:53:56
119,Paradon (Original Mix),Denis Horvat,,Techno,MP3,20957256,522,2018,120.0,2021-10-10,1,Denis Horvat - Paradon (Original Mix),2A,,2025-12-12 14:53:56
120,Pimiento Rojo (Original Mix),Dennis Cruz,,Tech House,MP3,15864334,389,0,124.0,2021-10-10,1,Dennis Cruz - Pimiento Rojo (Original Mix),3A,,2025-12-12 14:53:56
121,El Sueno feat. Martina Camargo (Original Mix),Dennis Cruz,,Tech House,MP3,16066885,397,0,124.0,2021-10-10,5,Dennis Cruz Ft. Martina Camargo - El Sueno (Original Mix),10A,,2025-12-12 14:53:56
122,La Calle,Detlef,Hold On,House,MP3,20039123,498,2011,124.0,2021-10-10,1,Detlef - La Calle,5A,,2025-12-12 14:53:56
123,Music Please,Detlef,,Tech House,MP3,20280951,505,0,126.0,2021-10-10,1,Detlef - Music Please,4B,,2025-12-12 14:53:56
124,Voy,Detlef,We Love This Groove 2,Tech House,MP3,21471502,535,2013,122.0,2021-10-10,0,Detlef - Voy,11A,,2025-12-12 14:53:56
125,Last Night (EDIT),Di Chiara Brothers,,Tech House,MP3,14556518,363,0,128.0,2021-10-10,0,Di Chiara Brothers - Last Night (EDIT),8A,,2025-12-12 14:53:56
126,Pump It (Original Mix),Di Chiara Brothers,,Tech House,MP3,14794674,368,0,127.0,2021-10-10,1,Di Chiara Brothers - Pump It (Original Mix),3A,,2025-12-12 14:53:56
127,Lunar (Original Mix),Dimmish,,"Deep Tech, Minimal",MP3,19329867,480,2020,125.0,2021-10-10,3,Dimmish - Lunar (Original Mix),3A,,2025-12-12 14:53:56
128,Apollo,Disclosure,Settle (Special Edition),Deep House,MP3,16309126,403,2014,125.0,2021-10-10,1,Disclosure - Apollo,9A,,2025-12-12 14:53:56
129,Etran,"Disclosure, Etran Finatawa",Ecstasy,Afro House,MP3,12627274,309,2020,122.0,2021-10-10,0,Disclosure Ft. Etran Finatawa - Etran,4B,,2025-12-12 14:53:56
130,Resist,DJ Boris,The Vision,Techno,MP3,17885383,446,0,125.0,2021-10-10,5,DJ Boris - Resist,3B,,2025-12-12 14:53:56
131,Haidaku,Dj Fronter,Playa del Carmen 2015 (Compiled by Chus & Ceballos),Tech House,MP3,15627190,386,2015,125.0,2021-10-10,4,Dj Fronter - Haidaku,6A,,2025-12-12 14:53:56
132,Wanna Make You (Original Mix),Dj Fronter,Wanna Make You,Tech House,MP3,18885851,468,2016,124.0,2021-10-10,2,Dj Fronter - Wanna Make You (Original Mix),3B,,2025-12-12 14:53:56
133,Too Much Data (Patrick Topping Remix),"DJ Haus, Patrick Topping",Too Much Data,"Deep Tech, Minimal",MP3,14291812,356,0,128.0,2021-10-10,0,DJ Haus - Too Much Data (Patrick Topping Remix),11B,,2025-12-12 14:53:56
134,San Frandisco (Extended Mix),Dom Dolla,,Tech House,MP3,12634398,314,0,125.0,2021-10-10,2,Dom Dolla - San Frandisco (Extended Mix),4A,,2025-12-12 14:53:56
135,Take It (Sonny Fodera Extended Remix),"Dom Dolla, Sonny Fodera",Take It - Remixes,Tech House,MP3,16314362,407,0,123.0,2021-10-10,0,Dom Dolla - Take It (Sonny Fodera Extended Remix),6A,,2025-12-12 14:53:56
136,Parola (Rework),"Donato Dozzy, Anna Caragnano",,Melodic Techno,MP3,17175987,428,2019,120.0,2021-10-10,0,"Donato Dozzy, Anna Caragnano- Parola (Rework)",12A,,2025-12-12 14:53:56
137,Fuego (Julian Jeweil Remix),Dubfire & Oliver Huntemann,Elements Remixed,Techno,MP3,15827762,392,0,125.0,2021-10-10,4,Dubfire & Oliver Huntemann - Fuego (Julian Jeweil Remix),9A,,2025-12-12 14:53:56
138,Humano (Victor Ruiz Remix),Oliver Huntemann,,Techno,MP3,20007415,499,0,125.0,2021-10-10,2,"Dubfire, Oliver Huntemann - Humano (Victor Ruiz Remix)",11A,,2025-12-12 14:53:56
